Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,ROAS,,,Stage,Values
A1059,Data Analytics Course,179,3025,$238.81,17,3,1.70%,"$1,533.00",2024-11-11,Hyderabad,Mobile,Data Analytics Online,6.419329174,,,,
A1060,Data Analytics Course,166,5223,$189.76,18,7,4.20%,"$1,219.00",2024-11-16,Hyderabad,Tablet,Data Analytics Course,6.423903879,,,,
A1061,Data Analytics Course,166,5089,"$19,246.04",26,7,4.20%,"$1,946.00",2024-11-11,Hyderabad,Tablet,Analytics For Data,0.1011117092,,,,
A1062,Data Analytics Course,118,5016,$204.31,19,9,4.50%,"$1,833.00",2024-11-08,Hyderabad,Desktop,Analytics For Data,8.971660712,,,,
A1063,Data Analytics Course,185,3617,$222.32,24,7,3.80%,"$1,963.00",2024-11-23,Hyderabad,Mobile,Data Analytics Course,8.829614969,,,,
A1064,Data Analytics Course,116,3764,$232.03,28,10,8.60%,"$1,348.00",2024-11-20,Hyderabad,Tablet,Data Analytics Course,5.809593587,,,,
A1065,Data Analytics Course,99,4489,$183.73,15,6,6.10%,"$1,264.00",2024-11-05,Hyderabad,Desktop,Online Data Analytic,6.879660371,,,,
A1066,Data Analytics Course,172,4441,$221.18,14,8,4.70%,"$1,771.00",2024-11-27,Hyderabad,Mobile,Analytics For Data,8.007053079,,,,
A1067,Data Analytics Course,138,5751,$199.11,26,9,5.20%,"$1,337.00",2024-11-10,Hyderabad,Desktop,Data Analytics Online,6.714881221,,,,
A1068,Data Analytics Course,84,4036,$234.22,23,10,11.90%,"$1,287.00",2024-11-04,Hyderabad,Desktop,Learn Data Analytics,5.494833917,,,,
A1069,Data Analytics Course,124,4942,$240.59,18,3,2.40%,"$1,922.00",2024-11-16,Hyderabad,Desktop,Learn Data Analytics,7.988694459,,,,
A1070,Data Analytics Course,122,4989,$215.48,12,5,4.10%,"$1,975.00",2024-11-06,Hyderabad,Mobile,Data Analytics Online,9.165583813,,,,
A1071,Data Analytics Course,180,3006,$228.14,22,7,3.90%,"$1,556.00",2024-11-04,Hyderabad,Tablet,Learn Data Analytics,6.820373455,,,,
A1072,Data Analytics Course,133,3728,$199.13,11,10,7.52%,"$1,533.00",2024-11-09,Hyderabad,Desktop,Data Analytics Online,7.698488425,,,,
A1073,Data Analytics Course,164,3734,$225.39,27,8,4.00%,"$1,728.00",2024-11-12,Hyderabad,Tablet,Learn Data Analytics,7.666711034,,,,
A1074,Data Analytics Course,150,4621,$246.30,15,6,4.90%,"$1,554.00",2024-11-09,Hyderabad,Desktop,Data Analytics Online,6.309378806,,,,
A1075,Data Analytics Course,97,3212,$212.55,27,10,10.30%,"$1,994.00",2024-11-23,Hyderabad,Desktop,Analytics For Data,9.381322042,,,,
A1076,Data Analytics Course,128,4225,$228.24,30,4,3.10%,"$1,618.00",2024-11-08,Hyderabad,Mobile,Learn Data Analytics,7.089029092,,,,
A1077,Data Analytics Course,99,4779,$233.78,26,10,10.10%,"$1,086.00",2024-11-05,Hyderabad,Desktop,Online Data Analytic,4.645393105,,,,
A1078,Data Analytics Course,86,5352,$234.05,11,5,5.80%,"$1,364.00",2024-11-09,Hyderabad,Tablet,Online Data Analytic,5.82781457,,,,
A1079,Data Analytics Course,118,5405,$187.28,25,7,5.80%,"$1,836.00",2024-11-05,Hyderabad,Tablet,Analytics For Data,9.803502777,,,,
A1080,Data Analytics Course,127,5430,$199.13,14,6,4.70%,"$1,932.00",2024-11-25,Hyderabad,Mobile,Analytics For Data,9.70220459,,,,
A1081,Data Analytics Course,83,4808,$241.35,20,7,8.40%,"$1,038.00",2024-11-30,Hyderabad,Mobile,Learn Data Analytics,4.300807955,,,,
A1082,Data Analytics Course,149,3587,$217.53,23,8,5.37%,"$1,533.00",2024-11-17,Hyderabad,Mobile,Data Analytics Online,#VALUE!,,,,
A1083,Data Analytics Course,168,4683,$215.28,30,8,4.80%,"$1,327.00",2024-11-28,Hyderabad,Mobile,Data Analytics Online,6.164065403,,,,
A1084,Data Analytics Course,112,5814,$227.38,11,8,7.10%,"$1,467.00",2024-11-03,Hyderabad,Tablet,Analytics For Data,6.451754772,,,,
A1085,Data Analytics Course,123,3292,$233.20,28,6,4.90%,"$1,174.00",2024-11-19,Hyderabad,Desktop,Data Analytics Training,5.034305317,,,,
A1086,Data Analytics Course,174,4305,$206.02,20,3,3.40%,"$1,057.00",2024-11-23,Hyderabad,Desktop,Learn Data Analytics,5.130569848,,,,
A1087,Data Analytics Course,143,4368,"$16,579.42",27,7,4.90%,"$1,199.00",2024-11-03,Hyderabad,Tablet,Analytics For Data,0.07231857327,,,,
A1088,Data Analytics Course,195,5935,$209.68,23,9,4.60%,"$1,966.00",2024-11-07,Hyderabad,Tablet,Online Data Analytic,9.376192293,,,,
A1089,Data Analytics Course,176,5847,$241.04,13,6,3.40%,"$1,194.00",2024-11-02,Hyderabad,Desktop,Online Data Analytic,4.953534683,,,,
A1090,Data Analytics Course,141,4851,$227.39,28,5,3.55%,"$1,821.00",2024-11-15,Hyderabad,Desktop,Analytics For Data,8.008267734,,,,
A1091,Data Analytics Course,108,4710,$204.16,19,10,9.30%,"$1,731.00",2024-11-20,Hyderabad,Tablet,Data Analytics Online,8.478644201,,,,
A1092,Data Analytics Course,112,3345,"$12,985.28",11,6,4.70%,"$1,859.00",2024-11-23,Hyderabad,Tablet,Analytics For Data,0.1431621036,,,,
A1093,Data Analytics Course,0,5903,$184.41,23,9,0.00%,"$1,188.00",2024-11-20,Hyderabad,Tablet,Online Data Analytic,6.442166911,,,,
A1094,Data Analytics Course,145,5004,$216.45,22,5,3.40%,"$1,496.00",2024-11-01,Hyderabad,Tablet,Data Analytics Online,6.911526912,,,,
A1095,Data Analytics Course,183,3947,$197.30,15,8,4.40%,"$1,645.00",2024-11-14,Hyderabad,Desktop,Data Analytics Training,8.33755702,,,,
A1096,Data Analytics Course,113,3690,$229.42,20,5,4.40%,"$1,915.00",2024-11-28,Hyderabad,Tablet,Learn Data Analytics,8.347136257,,,,
A1097,Data Analytics Course,101,5943,$187.32,27,6,5.90%,"$1,614.00",2024-11-15,Hyderabad,Tablet,Data Analytics Online,8.616271621,,,,
A1098,Data Analytics Course,189,5357,$222.50,24,3,5.00%,"$1,839.00",2024-11-25,Hyderabad,Tablet,Data Analytics Course,8.265168539,,,,
A1099,Data Analytics Course,154,3596,$236.14,30,9,5.80%,"$1,036.00",2024-11-06,Hyderabad,Tablet,Online Data Analytic,4.387227916,,,,
A1100,Data Analytics Course,179,5162,$246.76,16,5,5.00%,"$1,052.00",2024-11-29,Hyderabad,Desktop,Online Data Analytic,4.263251743,,,,
A1101,Data Analytics Course,148,3747,$244.41,18,8,5.40%,"$1,092.00",2024-11-17,Hyderabad,Tablet,Learn Data Analytics,4.467902295,,,,
A1102,Data Analytics Course,177,4822,$197.03,26,9,5.10%,"$1,909.00",2024-11-04,Hyderabad,Mobile,Online Data Analytic,9.688879866,,,,
A1103,Data Analytics Course,119,5800,$221.36,11,8,6.72%,"$1,533.00",2024-11-29,Hyderabad,Desktop,Analytics For Data,#VALUE!,,,,
A1104,Data Analytics Course,89,3594,"$10,318.66",14,6,6.70%,"$1,026.00",2024-11-15,Hyderabad,Tablet,Data Analytics Course,0.09943151533,,,,
A1105,Data Analytics Course,146,4765,$230.22,23,5,3.40%,"$1,944.00",2024-11-28,Hyderabad,Tablet,Analytics For Data,8.444096951,,,,
A1106,Data Analytics Course,109,4128,$183.65,12,5,4.59%,"$1,533.00",2024-11-30,Hyderabad,Desktop,Data Analytics Online,#VALUE!,,,,
A1107,Data Analytics Course,159,5127,$197.16,21,4,2.50%,"$1,867.00",2024-11-03,Hyderabad,Tablet,Learn Data Analytics,9.469466423,,,,
A1108,Data Analytics Course,144,5674,$235.36,12,3,2.10%,"$1,505.00",2024-11-22,Hyderabad,Desktop,Analytics For Data,6.394459551,,,,
A1109,Data Analytics Course,122,3793,$237.22,19,8,6.60%,"$1,842.00",2024-11-20,Hyderabad,Tablet,Online Data Analytic,7.764943934,,,,
A1110,Data Analytics Course,112,4315,$235.33,28,9,8.00%,"$1,116.00",2024-11-08,Hyderabad,Mobile,Data Analytics Course,4.742276803,,,,
A1111,Data Analytics Course,174,4704,$192.32,21,10,4.90%,"$1,501.00",2024-11-24,Hyderabad,Mobile,Learn Data Analytics,7.804700499,,,,
A1112,Data Analytics Course,168,3349,$235.60,23,9,5.40%,"$1,894.00",2024-11-09,Hyderabad,Mobile,Online Data Analytic,8.039049236,,,,
A1113,Data Analytics Course,173,3501,$223.90,28,10,4.40%,"$1,179.00",2024-11-25,Hyderabad,Mobile,Data Analytics Course,5.265743636,,,,
A1114,Data Analytics Course,91,5453,$203.52,0,9,9.90%,"$1,838.00",2024-11-20,Hyderabad,Desktop,Data Analytics Course,9.031053459,,,,
A1115,Data Analytics Course,140,5405,$195.69,21,8,5.71%,"$1,094.00",2024-11-21,Hyderabad,Desktop,Data Analytics Training,5.59047473,,,,
A1116,Data Analytics Course,93,3425,$229.76,26,4,4.30%,"$1,344.00",2024-11-24,Hyderabad,Mobile,Online Data Analytic,5.849582173,,,,
A1117,Data Analytics Course,114,5263,$189.13,23,5,4.40%,"$1,434.00",2024-11-05,Hyderabad,Mobile,Data Analytics Course,7.582086396,,,,
A1118,Data Analytics Course,172,3889,"$19,941.68",21,10,5.81%,"$1,766.00",2024-11-16,Hyderabad,Tablet,Online Data Analytic,0.08855823582,,,,
A1119,Data Analytics Course,188,3327,$193.76,24,6,4.70%,"$1,220.00",2024-11-03,Hyderabad,Tablet,Online Data Analytic,6.296449216,,,,
A1120,Data Analytics Course,117,5453,$214.18,29,4,3.40%,"$1,348.00",2024-11-23,Hyderabad,Mobile,Learn Data Analytics,6.293771594,,,,
A1121,Data Analytics Course,113,5471,$215.57,27,9,3.80%,"$1,123.00",2024-11-23,Hyderabad,Mobile,Analytics For Data,5.209444728,,,,
A1122,Data Analytics Course,109,3550,$240.33,14,8,7.30%,"$1,982.00",2024-11-24,Hyderabad,Tablet,Learn Data Analytics,8.246993717,,,,
A1123,Data Analytics Course,174,3178,$225.67,18,10,5.70%,"$1,140.00",2024-11-20,Hyderabad,Desktop,Data Analytics Online,5.051624053,,,,
A1124,Data Analytics Course,96,4673,$192.88,24,5,5.20%,"$1,962.00",2024-11-10,Hyderabad,Mobile,Learn Data Analytics,10.17212775,,,,
A1125,Data Analytics Course,110,4254,$187.87,11,4,3.64%,"$1,172.00",2024-11-04,Hyderabad,Mobile,Data Analytics Training,6.23835631,,,,
A1126,Data Analytics Course,163,3658,$237.63,23,7,4.30%,"$1,699.00",2024-11-23,Hyderabad,Tablet,Online Data Analytic,7.149770652,,,,
A1127,Data Analytics Course,161,5319,$235.98,13,4,2.50%,"$1,423.00",2024-11-18,Hyderabad,Mobile,Learn Data Analytics,6.030172048,,,,
A1128,Data Analytics Course,195,5278,$193.49,30,7,4.70%,"$1,456.00",2024-11-04,Hyderabad,Mobile,Data Analytics Course,7.524936689,,,,
A1129,Data Analytics Course,84,3755,$218.88,14,9,4.70%,"$1,299.00",2024-11-05,Hyderabad,Tablet,Analytics For Data,5.934758772,,,,
A1130,Data Analytics Course,113,4580,$194.82,11,6,5.90%,"$1,248.00",2024-11-28,Hyderabad,Tablet,Data Analytics Course,6.405913151,,,,
A1131,Data Analytics Course,117,3809,$225.14,12,5,3.20%,"$1,495.00",2024-11-09,Hyderabad,Desktop,Data Analytics Training,6.640312694,,,,
A1132,Data Analytics Course,135,5118,$219.99,27,6,4.40%,"$1,089.00",2024-11-20,Hyderabad,Mobile,Online Data Analytic,4.95022501,,,,
A1133,Data Analytics Course,92,5766,$186.14,28,7,7.60%,"$1,013.00",2024-11-27,Hyderabad,Tablet,Data Analytics Training,5.442140324,,,,
A1134,Data Analytics Course,188,3934,$206.21,16,9,4.80%,"$1,533.00",2024-11-04,Hyderabad,Desktop,Data Analytics Course,#VALUE!,,,,
A1135,Data Analytics Course,101,4724,$228.38,13,7,3.40%,"$1,243.00",2024-11-20,Hyderabad,Desktop,Learn Data Analytics,5.442683247,,,,
A1136,Data Analytics Course,111,5895,$205.25,29,4,3.60%,"$1,693.00",2024-11-04,Hyderabad,Mobile,Data Analytics Course,8.248477467,,,,
A1137,Data Analytics Course,122,4048,$202.23,28,10,8.20%,"$1,533.00",2024-11-26,Hyderabad,Mobile,Online Data Analytic,#VALUE!,,,,
A1138,Data Analytics Course,99,3169,$237.68,21,6,6.06%,"$1,509.00",2024-11-22,Hyderabad,Mobile,Online Data Analytic,6.348872434,,,,
A1139,Data Analytics Course,154,4535,$229.29,11,3,1.90%,"$1,434.00",2024-11-01,Hyderabad,Tablet,Data Analytics Training,6.254088709,,,,
A1140,Data Analytics Course,129,3849,$249.29,22,10,7.80%,"$1,767.00",2024-11-11,Hyderabad,Desktop,Analytics For Data,7.08813029,,,,
A1141,Data Analytics Course,0,4259,$182.98,10,10,3.10%,"$1,048.00",2024-11-16,Hyderabad,Mobile,Analytics For Data,5.727401902,,,,
A1142,Data Analytics Course,143,3628,"$16,579.42",18,9,6.30%,"$1,566.00",2024-11-17,Hyderabad,Tablet,Data Analytics Course,0.09445445016,,,,
A1143,Data Analytics Course,80,3269,"$9,275.20",12,4,5.00%,"$1,753.00",2024-11-23,Hyderabad,Desktop,Data Analytics Online,0.18899862,,,,
A1144,Data Analytics Course,134,3724,$188.02,26,9,4.70%,"$1,891.00",2024-11-07,Hyderabad,Desktop,Online Data Analytic,10.0574407,,,,
A1145,Data Analytics Course,174,4838,$242.35,21,3,1.70%,"$1,599.00",2024-11-22,Hyderabad,Desktop,Data Analytics Online,6.597895606,,,,
A1146,Data Analytics Course,196,4524,$192.01,15,8,4.10%,"$1,048.00",2024-11-13,Hyderabad,Desktop,Data Analytics Course,5.45804906,,,,
A1147,Data Analytics Course,194,4694,$228.15,17,7,3.60%,"$1,874.00",2024-11-14,Hyderabad,Tablet,Learn Data Analytics,8.213894368,,,,
A1148,Data Analytics Course,180,4326,$221.67,13,9,5.00%,"$1,427.00",2024-11-06,Hyderabad,Tablet,Online Data Analytic,6.43749718,,,,
A1149,Data Analytics Course,100,4235,$222.61,10,8,5.10%,"$1,814.00",2024-11-01,Hyderabad,Desktop,Data Analytics Training,8.148780378,,,,
A1150,Data Analytics Course,153,4367,$184.51,29,9,5.90%,"$1,507.00",2024-11-13,Hyderabad,Mobile,Analytics For Data,8.167578993,,,,
A1151,Data Analytics Course,110,3748,$198.68,24,9,8.20%,"$1,041.00",2024-11-05,Hyderabad,Tablet,Data Analytics Training,5.239581236,,,,
A1152,Data Analytics Course,116,3901,"$13,449.04",21,4,3.40%,"$1,483.00",2024-11-13,Hyderabad,Tablet,Online Data Analytic,0.1102680935,,,,
A1153,Data Analytics Course,156,3335,$236.98,29,7,4.50%,"$1,143.00",2024-11-14,Hyderabad,Desktop,Data Analytics Course,4.823191831,,,,
A1154,Data Analytics Course,177,5671,$210.74,19,6,5.80%,"$1,172.00",2024-11-25,Hyderabad,Tablet,Data Analytics Course,5.561355224,,,,
A1155,Data Analytics Course,89,3408,$214.78,25,9,10.10%,"$1,898.00",2024-11-15,Hyderabad,Mobile,Data Analytics Course,8.836949437,,,,
A1156,Data Analytics Course,155,4422,$183.96,14,8,3.70%,"$1,143.00",2024-11-15,Hyderabad,Mobile,Analytics For Data,6.213307241,,,,
A1157,Data Analytics Course,123,3097,$190.55,20,8,6.50%,"$1,640.00",2024-11-22,Hyderabad,Tablet,Data Analytics Course,8.606664917,,,,
A1158,Data Analytics Course,102,3621,$244.82,10,5,4.90%,"$1,375.00",2024-11-12,Hyderabad,Mobile,Learn Data Analytics,5.616371212,,,,
A1159,Data Analytics Course,150,4806,$244.53,15,9,6.00%,"$1,602.00",2024-11-07,Hyderabad,Mobile,Data Analytics Online,6.551343393,,,,
A1160,Data Analytics Course,160,5453,$245.87,11,6,3.70%,"$1,533.00",2024-11-05,Hyderabad,Desktop,Analytics For Data,#VALUE!,,,,
A1161,Data Analytics Course,143,3901,$191.38,29,4,5.30%,"$1,786.00",2024-11-24,Hyderabad,Mobile,Learn Data Analytics,9.332218623,,,,
A1162,Data Analytics Course,178,4673,$222.46,29,6,5.10%,"$1,219.00",2024-11-04,Hyderabad,Tablet,Online Data Analytic,5.479636789,,,,
A1163,Data Analytics Course,152,3542,$208.96,13,9,5.92%,"$1,735.00",2024-11-13,Hyderabad,Desktop,Data Analytics Course,8.303024502,,,,
A1164,Data Analytics Course,139,4347,$238.19,26,5,3.60%,"$1,384.00",2024-11-13,Hyderabad,Tablet,Analytics For Data,5.810487426,,,,
A1165,Data Analytics Course,175,5014,$247.24,25,7,4.00%,"$1,499.00",2024-11-15,Hyderabad,Mobile,Learn Data Analytics,6.0629348,,,,
A1166,Data Analytics Course,92,4185,$218.46,21,9,3.50%,"$1,567.00",2024-11-03,Hyderabad,Mobile,Data Analytics Online,7.172937838,,,,
A1167,Data Analytics Course,123,5964,"$14,260.62",17,6,4.88%,"$1,363.00",2024-11-03,Hyderabad,Desktop,Data Analytics Training,0.09557789213,,,,
A1168,Data Analytics Course,86,5124,$183.71,13,10,11.60%,"$1,137.00",2024-11-20,Hyderabad,Mobile,Data Analytics Training,6.18910239,,,,
A1169,Data Analytics Course,117,4162,$238.08,28,10,8.50%,"$1,186.00",2024-11-22,Hyderabad,Mobile,Online Data Analytic,4.981518817,,,,
A1170,Data Analytics Course,146,4330,$191.90,20,3,2.10%,"$1,748.00",2024-11-09,Hyderabad,Mobile,Online Data Analytic,9.108910891,,,,
A1171,Data Analytics Course,89,3268,"$10,318.66",17,4,4.50%,"$1,233.00",2024-11-13,Hyderabad,Desktop,Online Data Analytic,0.1194922597,,,,
A1172,Data Analytics Course,195,3483,$213.99,27,7,3.60%,"$1,796.00",2024-11-23,Hyderabad,Desktop,Learn Data Analytics,8.392915557,,,,
A1173,Data Analytics Course,170,4519,$240.63,22,7,4.10%,"$1,012.00",2024-11-27,Hyderabad,Mobile,Analytics For Data,4.205626896,,,,
A1174,Data Analytics Course,97,3605,$240.29,21,7,4.50%,"$1,682.00",2024-11-10,Hyderabad,Desktop,Data Analytics Online,6.999875151,,,,
